salesgroth,gics,application,marketcap,cogsgroth,hd,sgagroth,grossincomegroth,finiancial,category,profitability,subcategory,technology,risk,ports,interest,pretax,netincome,EPS,EPSd,EBITDA,frequency
-12.58,global,CINCINNATI FIN,12145751040,26.38,1,41.32,-28.69,strength-high,Medium,metric-e,instant-messaging,High,2,"tcp/5222, 80",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.56784366
21.75,global,TORCHMARK CORP,9035709440,25.62,4,21.42,17.53,strength-high,Medium,,,High,3,,104.2,0.41,-14.87,-57.99,-57.62,-37.68,0.506551188
56.03,global,WILLIS TOWERS WA,20231555072,-56.03,6,28.59,84.98,strength-high,Low,,,High,3,,99.08,99.08,99.5,99.5,91.09,-37.68,0.367865867
5.94,global,LOEWS CORP,16208839680,6.48,0,7.89,2.6,strength-high,High,metric-c,voip-video,High,5,"tcp/3784, udp/43784",-1.11,0.81,1.14,4.07,4.1,-37.68,0.515101044
-16.69,global,TRIPADVISOR INC,5353913856,-28.12,0,0.41,86.3,strength-low,High,metric-c,voip-video,Low,1,tcp/5001,57.14,59.27,41.99,48.41,48.41,-37.68,0.515101044
-5.97,global,PRICELINE GROUP,88584642560,-31.28,0,21.42,3.27,strength-medium,Medium,metric-c,voip-video,Medium,2,tcp/5100,0.41,-30.75,-31.63,-18.72,-18.97,-37.68,0.515101044
3.27,global,EXPEDIA INC,22069958656,3.4,80,0.18,2.78,strength-medium,Medium,metric-c,auth-service,Medium,3,"tcp/389, 3268, 3269, 636, udp/389, 3268",-1.72,-13.39,-13.54,-14.09,-14.19,-37.68,0.753497668
-12.58,global,AMAZON.COM INC,4.72E+11,26.38,16,41.32,-28.69,strength-medium,Low,metric-c,auth-service,Medium,4,tcp/49,-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
21.75,global,NETFLIX INC,65676460032,25.62,0,21.42,17.53,strength-high,Medium,metric-c,auth-service,High,5,tcp/49,104.2,0.41,-14.87,-57.99,-57.62,-37.68,0.515101044
56.03,global,EBAY INC,36756197376,-56.03,0,28.59,84.98,strength-low,High,metric-c,auth-service,Low,5,tcp/2009,99.08,99.08,99.5,99.5,91.09,-37.68,0.515101044
5.94,global,VERISIGN INC,9382434816,6.48,13866,7.89,2.6,strength-medium,Medium,metric-c,database,Medium,1,tcp/3306,-1.11,0.81,1.14,4.07,4.1,-37.68,0.515101044
-16.69,global,AKAMAI TECHNOLOG,8557232128,-28.12,1153,0.41,86.3,strength-medium,Medium,metric-c,database,Medium,4,tcp/5432,57.14,59.27,41.99,48.41,48.41,-37.68,0.515101044
-5.97,global,FACEBOOK INC-A,4.37E+11,-31.28,2184,21.42,3.27,strength-medium,Low,metric-c,database,Medium,2,"tcp/50000, 60000",0.41,-30.75,-31.63,-18.72,-18.97,-37.68,0.515101044
3.27,global,ALPHABET INC-A,6.56E+11,3.4,0,0.18,2.78,strength-medium,Medium,metric-c,general-business,Medium,3,tcp/20016,-1.72,-13.39,-13.54,-14.09,-14.19,-37.68,0.515101044
-12.58,global,ALPHABET INC-C,6.56E+11,26.38,0,41.32,-28.69,strength-high,Medium,metric-c,general-business,High,3,tcp/1829,-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
21.75,global,YAHOO! INC,50382106624,25.62,0,21.42,17.53,strength-high,High,metric-c,general-business,High,5,"tcp/9703, tcp/9704",104.2,0.41,-14.87,-57.99,-57.62,-37.68,0.515101044
56.03,global,WESTERN UNION,8991529984,-56.03,0,28.59,84.98,strength-low,Medium,metric-c,general-business,Low,3,tcp/2638,99.08,99.08,99.5,99.5,91.09,-37.68,0.619586942
5.94,global,IBM,1.46E+11,6.48,7112,7.89,2.6,strength-low,Medium,metric-c,infrastructure,Low,2,"tcp/161, udp/161",-1.11,0.81,1.14,4.07,4.1,-37.68,0.668110149
-16.69,global,VISA INC-CLASS A,2.17E+11,-28.12,2922,0.41,86.3,strength-low,Medium,metric-c,infrastructure,Low,1,tcp/139,57.14,59.27,41.99,48.41,48.41,-37.68,0.72218521
-5.97,global,MASTERCARD INC-A,1.31E+11,-31.28,384,21.42,3.27,strength-medium,Medium,metric-c,infrastructure,Medium,1,"tcp/67, tcp/68, udp/67, udp/68",0.41,-30.75,-31.63,-18.72,-18.97,-37.68,0.95502998
3.27,global,ACCENTURE PLC-A,82674057216,3.4,2097,0.18,2.78,strength-medium,Medium,metric-c,infrastructure,Medium,4,"tcp/161, udp/161",-1.72,-13.39,-13.54,-14.09,-14.19,-37.68,0.625027759
-12.58,global,ALLIANCE DATA,14191799296,26.38,9,41.32,-28.69,strength-medium,Low,metric-c,infrastructure,Medium,1,"tcp/1900, udp/1900",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
21.75,global,AUTOMATIC DATA,46302494720,25.62,177,21.42,17.53,strength-medium,Medium,metric-c,infrastructure,Medium,2,"tcp/162, udp/162",104.2,0.41,-14.87,-57.99,-57.62,-37.68,0.585276482
56.03,global,TERADATA CORP,3659190016,-56.03,1984,28.59,84.98,strength-medium,Medium,metric-e,infrastructure,Medium,4,"tcp/161, udp/161",99.08,99.08,99.5,99.5,91.09,-37.68,0.515101044
5.94,global,FISERV INC,26472914944,6.48,2,7.89,2.6,strength-medium,Medium,metric-e,infrastructure,Medium,2,"tcp/5355, udp/5355",-1.11,0.81,1.14,4.07,4.1,-37.68,0.515101044
-16.69,global,PAYCHEX INC,21950076928,-28.12,71,0.41,86.3,strength-medium,Medium,metric-e,infrastructure,Medium,2,"tcp/161, udp/161",57.14,59.27,41.99,48.41,48.41,-37.68,0.733399956
-5.97,global,GARTNER INC,11060764672,-31.28,1,21.42,3.27,strength-medium,Medium,metric-e,infrastructure,Medium,3,tcp/42,0.41,-30.75,-31.63,-18.72,-18.97,-37.68,0.515101044
3.27,global,FIDELITY NATIONA,28162299904,3.4,19,0.18,2.78,strength-medium,Low,metric-e,infrastructure,Medium,4,"tcp/3386, udp/2123, 2152, 3386",-1.72,-13.39,-13.54,-14.09,-14.19,-37.68,0.434932267
-12.58,global,PAYPAL HOLDINGS,62273241088,26.38,72,41.32,-28.69,strength-medium,High,metric-e,infrastructure,Medium,5,"tcp/161, udp/161",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
21.75,global,COGNIZANT TECH-A,39221301248,25.62,1310,21.42,17.53,strength-medium,Medium,metric-e,infrastructure,Medium,4,tcp/7800,104.2,0.41,-14.87,-57.99,-57.62,-37.68,0.515101044
56.03,global,CSRA INC,5281134592,-56.03,682,28.59,84.98,strength-high,High,metric-e,infrastructure,High,5,"tcp/6050, 445, 139, 111, udp/6050",99.08,99.08,99.5,99.5,91.09,-37.68,0.515101044
5.94,global,TOTAL SYS SERVS,10848636928,6.48,1383,7.89,2.6,strength-high,Low,metric-e,infrastructure,High,3,"tcp/5001, udp/5001",-1.11,0.81,1.14,4.07,4.1,-37.68,0.515101044
-16.69,global,GLOBAL PAYMENTS,13654959104,-28.12,0,0.41,86.3,strength-high,High,metric-e,infrastructure,High,5,"tcp/443, udp/53",57.14,59.27,41.99,48.41,48.41,-37.68,0.515101044
-5.97,global,DXC TECHNOLOGY C,21225748480,-31.28,33,21.42,3.27,strength-high,High,metric-e,infrastructure,High,5,"tcp/3034, tcp/3035",0.41,-30.75,-31.63,-18.72,-18.97,-37.68,0.515101044
3.27,global,HASBRO INC,13705370624,3.4,83,0.18,2.78,strength-medium,Medium,metric-e,instant-messaging,Medium,1,"tcp/5222, 5269",-1.72,-13.39,-13.54,-14.09,-14.19,-37.68,0.62003109
-12.58,global,MATTEL INC,7097767936,26.38,62,41.32,-28.69,strength-medium,Medium,metric-e,instant-messaging,Medium,5,"tcp/443, tcp/5222, 5223",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.53009105
21.75,global,AGILENT TECH INC,19122790400,25.62,39,21.42,17.53,strength-low,High,metric-e,instant-messaging,Low,5,tcp/6665-6669,104.2,0.41,-14.87,-57.99,-57.62,-37.68,0.507661559
56.03,global,ILLUMINA INC,25091559424,-56.03,4,28.59,84.98,strength-medium,Low,metric-e,instant-messaging,Medium,1,"tcp/2041, 2042",99.08,99.08,99.5,99.5,91.09,-37.68,0.515101044
5.94,global,WATERS CORP,14739712000,6.48,4,7.89,2.6,strength-medium,Medium,metric-e,instant-messaging,Medium,2,tcp/5190-5199,-1.11,0.81,1.14,4.07,4.1,-37.68,0.515101044
-16.69,global,METTLER-TOLEDO,15167323136,-28.12,1,0.41,86.3,strength-medium,Medium,metric-e,instant-messaging,Medium,3,tcp/1863,57.14,59.27,41.99,48.41,48.41,-37.68,0.515101044
-5.97,global,THERMO FISHER,68408713216,-31.28,83,21.42,3.27,strength-high,Medium,metric-e,instant-messaging,High,4,"tcp/5004, tcp/80",0.41,-30.75,-31.63,-18.72,-18.97,-37.68,0.515101044
3.27,global,PERKINELMER INC,6995180032,3.4,7,0.18,2.78,strength-high,High,metric-e,instant-messaging,High,5,"tcp/5222, 80",-1.72,-13.39,-13.54,-14.09,-14.19,-37.68,0.741949811
-12.58,global,CUMMINS INC,27138072576,26.38,1,41.32,-28.69,strength-low,Medium,metric-e,instant-messaging,Low,3,"tcp/5222, 80",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.730401954
21.75,global,ILLINOIS TOOL WO,51344384000,25.62,4,21.42,17.53,strength-low,Medium,metric-e,instant-messaging,Low,1,"tcp/5222, 81",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.675660671
56.03,global,CATERPILLAR INC,63393300480,-56.03,6,28.59,84.98,strength-medium,High,metric-e,instant-messaging,Medium,2,"tcp/5222, 82",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.785698423
,global,INGERSOLL-RAND,23641100288,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,2,"tcp/5222, 83",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.712969132
,global,PARKER HANNIFIN,21656946688,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,4,"tcp/5222, 84",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.644792361
,global,SNAP-ON INC,9153641472,-56.03,6,28.59,84.98,strength-medium,Low,metric-e,instant-messaging,Medium,1,"tcp/5222, 85",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.705307573
,global,PENTAIR PLC,12152101888,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,4,"tcp/5222, 86",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.641350211
,global,FLOWSERVE CORP,6197836800,-56.03,6,28.59,84.98,strength-medium,High,metric-e,instant-messaging,Medium,4,"tcp/5222, 87",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.619697979
,global,DEERE & CO,40910364672,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,2,"tcp/5222, 88",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.576837664
,global,PACCAR INC,22906943488,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,3,"tcp/5222, 89",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.483788585
,global,STANLEY BLACK &,21611517952,-56.03,6,28.59,84.98,strength-medium,Low,metric-e,instant-messaging,Medium,3,"tcp/5222, 90",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.568065734
,global,DOVER CORP,12911244288,-56.03,6,28.59,84.98,strength-high,Medium,metric-e,instant-messaging,High,5,"tcp/5222, 91",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.577948035
,global,XYLEM INC,9713672192,-56.03,6,28.59,84.98,strength-high,Medium,metric-e,instant-messaging,High,5,"tcp/5222, 92",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.632134133
,global,FORTIVE CORP,22200332288,-56.03,6,28.59,84.98,strength-high,High,metric-e,instant-messaging,High,5,"tcp/5222, 93",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,TWENTY-FIRST - B,50542469120,-56.03,6,28.59,84.98,strength-low,High,metric-e,instant-messaging,Low,1,"tcp/5222, 94",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.658449922
,global,TWENTY-FIRST C-A,50542469120,-56.03,6,28.59,84.98,strength-low,High,metric-e,instant-messaging,Low,1,"tcp/5222, 95",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.658449922
,global,INTERPUBLIC GRP,9644638208,-56.03,6,28.59,84.98,strength-low,Medium,metric-e,instant-messaging,Low,4,"tcp/5222, 96",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.796135909
,global,WALT DISNEY CO,1.65E+11,-56.03,6,28.59,84.98,strength-medium,Low,metric-e,instant-messaging,Medium,1,"tcp/5222, 97",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.737508328
,global,DISCOVERY COMM-A,15115509760,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,2,"tcp/5222, 98",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,DISCOVERY COMM-C,15115509760,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,2,"tcp/5222, 99",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,CBS CORP-B,25291259904,-56.03,6,28.59,84.98,strength-medium,High,metric-e,instant-messaging,Medium,5,"tcp/5222, 100",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.6577837
,global,TIME WARNER INC,76933316608,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,3,"tcp/5222, 101",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.636131468
,global,SCRIPPS NET-CL A,8739095552,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,4,"tcp/5222, 102",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.707417277
,global,OMNICOM GROUP,19389902848,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,3,"tcp/5222, 103",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.639351543
,global,COMCAST CORP-A,1.96E+11,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,2,"tcp/5222, 104",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.648900733
,global,VIACOM INC-B,14268169216,-56.03,6,28.59,84.98,strength-medium,High,metric-e,instant-messaging,Medium,5,"tcp/5222, 105",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.4497002
,global,NEWS CORP-CL B,8072117760,-56.03,6,28.59,84.98,strength-high,Low,metric-e,instant-messaging,High,4,"tcp/5222, 106",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,NEWS CORP-CL A,8072117760,-56.03,6,28.59,84.98,strength-high,Medium,metric-e,instant-messaging,High,5,"tcp/5222, 107",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,CHARTER COMMUN-A,1.05E+11,-56.03,6,28.59,84.98,strength-high,Low,metric-e,instant-messaging,High,3,"tcp/5222, 108",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,DISH NETWORK-A,30051119104,-56.03,6,28.59,84.98,strength-high,Medium,metric-e,instant-messaging,High,5,"tcp/5222, 109",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,NUCOR CORP,17522327552,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,1,"tcp/5222, 110",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.522651566
,global,NEWMONT MINING,17511380992,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,3,"tcp/5222, 111",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.005218743
,global,FREEPORT-MCMORAN,16522602496,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,5,"tcp/5222, 112",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,TARGET CORP,29025372160,-56.03,6,28.59,84.98,strength-low,Medium,metric-e,instant-messaging,Low,1,"tcp/5222, 113",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.645902732
,global,KOHLS CORP,6372594176,-56.03,6,28.59,84.98,strength-medium,High,metric-e,instant-messaging,Medium,2,"tcp/5222, 114",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.654230513
,global,MACY'S INC,6982339072,-56.03,6,28.59,84.98,strength-medium,High,metric-e,instant-messaging,Medium,5,"tcp/5222, 115",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.77781479
,global,DOLLAR GENERAL C,19228665856,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,3,"tcp/5222, 116",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,NORDSTROM INC,7887473152,-56.03,6,28.59,84.98,strength-high,Medium,metric-e,instant-messaging,High,5,"tcp/5222, 117",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.585942705
,global,DOLLAR TREE INC,16584766464,-56.03,6,28.59,84.98,strength-high,Low,metric-e,instant-messaging,High,4,"tcp/5222, 118",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,DOMINION ENERGY,50765438976,-56.03,6,28.59,84.98,strength-low,Medium,metric-e,instant-messaging,Low,1,"tcp/5222, 119",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.600155452
,global,DTE ENERGY CO,19946184704,-56.03,6,28.59,84.98,strength-low,Medium,metric-e,instant-messaging,Low,3,"tcp/5222, 120",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.582944704
,global,WEC ENERGY GROUP,20269654016,-56.03,6,28.59,84.98,strength-medium,Low,metric-e,instant-messaging,Medium,1,"tcp/5222, 121",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.629136131
,global,PUB SERV ENTERP,22486312960,-56.03,6,28.59,84.98,strength-medium,High,metric-e,instant-messaging,Medium,2,"tcp/5222, 122",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.566289141
,global,CMS ENERGY CORP,13531877376,-56.03,6,28.59,84.98,strength-medium,Low,metric-e,instant-messaging,Medium,2,"tcp/5222, 123",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.597268488
,global,CENTERPOINT ENER,12446261248,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,3,"tcp/5222, 124",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.587608261
,global,NISOURCE INC,8460823552,-56.03,6,28.59,84.98,strength-medium,High,metric-e,instant-messaging,Medium,5,"tcp/5222, 125",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.458694204
,global,SEMPRA ENERGY,29167931392,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,4,"tcp/5222, 126",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.587164113
,global,SCANA CORP,10178542592,-56.03,6,28.59,84.98,strength-high,Medium,metric-e,instant-messaging,High,4,"tcp/5222, 127",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.56517877
,global,AMEREN CORP,13849593856,-56.03,6,28.59,84.98,strength-high,Medium,metric-e,instant-messaging,High,5,"tcp/5222, 128",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.544414835
,global,CONS EDISON INC,25911484416,-56.03,6,28.59,84.98,strength-high,High,metric-e,instant-messaging,High,5,"tcp/5222, 129",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.547745947
,global,VALERO ENERGY,29427828736,-56.03,6,28.59,84.98,strength-low,Medium,metric-e,instant-messaging,Low,1,"tcp/5222, 130",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.965134355
,global,MARATHON PETROLE,27892510720,-56.03,6,28.59,84.98,strength-low,Medium,metric-e,instant-messaging,Low,2,"tcp/5222, 131",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.739840107
,global,PHILLIPS 66,41519833088,-56.03,6,28.59,84.98,strength-low,Medium,metric-e,instant-messaging,Low,3,"tcp/5222, 132",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.753608705
,global,TESORO CORP,14783670272,-56.03,6,28.59,84.98,strength-low,Low,metric-e,instant-messaging,Low,1,"tcp/5222, 133",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.862202976
,global,EXXON MOBIL CORP,3.54E+11,-56.03,6,28.59,84.98,strength-low,Medium,metric-e,instant-messaging,Low,3,"tcp/5222, 134",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.581501221
,global,EOG RESOURCES,51099803648,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,2,"tcp/5222, 135",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.716411281
,global,ONEOK INC,10753477632,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,2,"tcp/5222, 136",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.660559627
,global,HESS CORP,13867084800,-56.03,6,28.59,84.98,strength-medium,High,metric-e,instant-messaging,Medium,3,"tcp/5222, 137",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.576837664
,global,CONOCOPHILLIPS,57562447872,-56.03,6,28.59,84.98,strength-medium,High,metric-e,instant-messaging,Medium,4,"tcp/5222, 138",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.204752387
,global,OCCIDENTAL PETE,47274086400,-56.03,6,28.59,84.98,strength-medium,High,metric-e,instant-messaging,Medium,5,"tcp/5222, 139",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.567288474
,global,CHEVRON CORP,2.05E+11,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,4,"tcp/5222, 140",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.542194093
,global,PIONEER NATURAL,27009251328,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,1,"tcp/5222, 141",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.675660671
,global,WILLIAMS COS INC,24061120512,-56.03,6,28.59,84.98,strength-medium,Low,metric-e,instant-messaging,Medium,3,"tcp/5222, 142",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.473906285
,global,NEWFIELD EXPLORA,5842376192,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,4,"tcp/5222, 143",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,CABOT OIL & GAS,10762900480,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,2,"tcp/5222, 144",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.565622918
,global,MURPHY OIL CORP,4375770112,-56.03,6,28.59,84.98,strength-medium,High,metric-e,instant-messaging,Medium,4,"tcp/5222, 145",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.468798579
,global,APACHE CORP,18846869504,-56.03,6,28.59,84.98,strength-medium,High,metric-e,instant-messaging,Medium,5,"tcp/5222, 146",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.576837664
,global,CONCHO RESOURCES,17363625984,-56.03,6,28.59,84.98,strength-medium,Low,metric-e,instant-messaging,Medium,1,"tcp/5222, 147",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,ANADARKO PETROLE,26358353920,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,3,"tcp/5222, 148",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.162447257
,global,DEVON ENERGY CO,16696231936,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,5,"tcp/5222, 149",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.125138796
,global,NOBLE ENERGY INC,14349229056,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,3,"tcp/5222, 150",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.397401732
,global,CHESAPEAKE ENERG,4631142912,-56.03,6,28.59,84.98,strength-high,Medium,metric-e,instant-messaging,High,5,"tcp/5222, 151",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,MARATHON OIL,10641897472,-56.03,6,28.59,84.98,strength-high,High,metric-e,instant-messaging,High,5,"tcp/5222, 152",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.129469243
,global,CIMAREX ENERGY C,8923090944,-56.03,6,28.59,84.98,strength-high,Medium,metric-e,instant-messaging,High,5,"tcp/5222, 153",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.3155674
,global,KINDER MORGAN IN,42840571904,-56.03,6,28.59,84.98,strength-high,Low,metric-e,instant-messaging,High,2,"tcp/5222, 154",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.152342883
,global,EQT CORP,10185781248,-56.03,6,28.59,84.98,strength-high,Low,metric-e,instant-messaging,High,1,"tcp/5222, 155",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,RANGE RESOURCES,5788661760,-56.03,6,28.59,84.98,strength-high,Medium,metric-e,instant-messaging,High,4,"tcp/5222, 156",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.286253609
,global,COTY INC-CL A,14242509824,-56.03,6,28.59,84.98,strength-low,Low,metric-e,instant-messaging,Low,1,"tcp/5222, 157",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,ESTEE LAUDER,35863654400,-56.03,6,28.59,84.98,strength-low,Low,metric-e,instant-messaging,Low,1,"tcp/5222, 158",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.72562736
,global,PFIZER INC,1.97E+11,-56.03,6,28.59,84.98,strength-low,Medium,metric-e,instant-messaging,Low,1,"tcp/5222, 159",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.598934044
,global,MALLINCKRODT,4142752512,-56.03,6,28.59,84.98,strength-low,Low,metric-e,instant-messaging,Low,4,"tcp/5222, 160",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,MERCK & CO,1.72E+11,-56.03,6,28.59,84.98,strength-medium,High,metric-e,instant-messaging,Medium,2,"tcp/5222, 161",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.540084388
,global,BRISTOL-MYER SQB,89719283712,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,2,"tcp/5222, 162",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.545525205
,global,JOHNSON&JOHNSON,3.62E+11,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,1,"tcp/5222, 163",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.588385521
,global,PERRIGO CO PLC,10470870016,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,3,"tcp/5222, 164",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
,global,ZOETIS INC,30699343872,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,3,"tcp/5222, 165",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.565289807
