frequency,region,application,bandwidth,% of regional bandwidth,hd,sessions,% of regional sessions,category,profitability,subcategory,technology,risk,ports
0.027,europe,Kinder Morgan,1155931881,0,0,30,0,ratio-c,metric-c,file-sharing,measure-3,5,"tcp/6346-6351, 6881-6999, 4661, 4662, 4671, udp/6346-6351, 4665, 4672"
0.009,europe,Raytheon Co.,1081911689,0,0,63511,0,ratio-a,metric-c,infrastructure,measure-1,2,tcp/42
0.076,europe,CSX Corp.,4255404012,0,1,111,0,ratio-e,metric-c,management,measure-1,1,"tcp/2887, udp/2887"
0.003,europe,Delta Air Lines,2.05E+12,0,685,695437,0,ratio-a,metric-c,remote-access,measure-1,5,tcp/6000
0.006,europe,The Travelers Companies Inc.,6.75E+11,0,225,1553577,0,ratio-b,metric-c,gaming,measure-1,3,"tcp/3074, udp/88, 3074"
0.005,europe,"S&P Global, Inc.",572426694,0,0,251993,0,ratio-a,metric-c,remote-access,measure-1,3,"tcp/177, udp/177"
0.008,europe,PG&E Corp.,153107970,0,0,19584,0,ratio-d,metric-c,instant-messaging,measure-1,1,tcp/25999
0.019,europe,Exelon Corp.,21329454,0,0,483,0,ratio-a,metric-c,remote-access,measure-4,1,tcp/7100
0.226,europe,Mylan N.V.,87030534653,0,29,216824,0,ratio-d,metric-c,voip-video,measure-3,4,tcp/5001
0.761,europe,Delphi Automotive,5070538413,0,2,4130,0,ratio-d,metric-c,voip-video,measure-3,2,tcp/5100
0.343,europe,Kroger Co.,1.56E+12,0,521,127985,0,ratio-e,metric-c,storage-backup,measure-1,3,tcp/3817
0.001,asiapacific,Wec Energy Group Inc,577412221,0,0,832695,0,ratio-e,metric-c,auth-service,measure-1,1,tcp/49
0.001,asiapacific,The Walt Disney Company,2.98E+12,0.001,994,140310192,0.004,ratio-e,metric-c,auth-service,measure-1,2,"tcp/389, 3268, 3269, 636, udp/389, 3268"
0.003,asiapacific,PepsiCo Inc.,4.19E+11,0,140,1514796,0,ratio-e,metric-c,database,measure-1,2,tcp/5432
0.004,asiapacific,Lowe's Cos.,1.63E+13,0.007,5429,14071334,0,ratio-e,metric-c,database,measure-1,2,tcp/3306
0.747,asiapacific,American Tower Corp A,7777,0,0,8,0,ratio-e,metric-c,database,measure-1,2,tcp/27017
0.019,asiapacific,American Express Co,22749,0,0,43,0,ratio-e,metric-c,database,measure-1,2,tcp/7210
0.018,asiapacific,Vertex Pharmaceuticals Inc,1.67E+11,0,56,137900,0,ratio-e,metric-c,database,measure-1,1,tcp/3050
0.017,asiapacific,Moody's Corp,312325759,0,0,64,0,ratio-e,metric-c,database,measure-4,1,tcp/55000
0.046,asiapacific,Northern Trust Corp.,1.80E+12,0.001,601,4348773,0,ratio-e,metric-c,database,measure-1,1,"tcp/50000, 60000"
0.003,asiapacific,"CA, Inc.",5.22E+12,0.002,1738,28905193,0.001,ratio-d,metric-c,email,measure-1,4,"tcp/1352, 139, udp/1352"
0.002,asiapacific,Comcast Corp.,792662394,0,0,6637,0,ratio-d,metric-c,email,measure-1,3,tcp/1677
0.032,asiapacific,United Health Group Inc.,20296411470,0,7,30180,0,ratio-d,metric-c,email,measure-1,4,"tcp/3101, 4101, udp/17600-17800"
0.173,asiapacific,Amgen Inc,1200391958,0,0,5,0,ratio-a,metric-c,proxy-tunnels,measure-4,1,"tcp/4800-4920, udp/4803, 4804"
0.014,asiapacific,"Analog Devices, Inc.",5.09E+11,0,170,286377,0,ratio-a,metric-c,proxy-tunnels,measure-1,3,"tcp/1194, tcp/443, udp/1194"
0.329,asiapacific,The Hershey Company,9552395545,0,3,606659,0,ratio-a,metric-c,proxy-tunnels,measure-1,2,"tcp/500, udp/500"
0.055,asiapacific,Equity Residential,9278821869,0,3,53328,0,ratio-d,metric-c,instant-messaging,measure-1,2,"tcp/5222, 80"
0.006,asiapacific,Honeywell Int'l Inc.,2.23E+11,0,74,13612012,0,ratio-d,metric-c,instant-messaging,measure-1,4,"tcp/5004, tcp/80"
0.996,asiapacific,Eaton Corporation,3064537513,0,1,155893,0,ratio-d,metric-c,instant-messaging,measure-3,3,tcp/1863
0.006,asiapacific,Welltower Inc.,2782102072,0,1,244930,0,ratio-d,metric-c,instant-messaging,measure-1,1,"tcp/2041, 2042"
0.67,asiapacific,Ventas Inc,20159483812,0,7,1940843,0,ratio-d,metric-c,instant-messaging,measure-1,5,"tcp/5222, 5269"
0.013,asiapacific,Citizens Financial Group,15550155831,0,5,12821203,0,ratio-d,metric-c,instant-messaging,measure-1,5,tcp/6665-6669
0.002,asiapacific,Verisk Analytics,166595399,0,0,17072,0,ratio-d,metric-c,instant-messaging,measure-1,4,tcp/5190-5199
0.01,asiapacific,Johnson & Johnson,1039281354,0,0,252632,0,ratio-d,metric-c,instant-messaging,measure-1,2,"tcp/5222, 80"
0.319,asiapacific,Oracle Corp.,267812591,0,0,79014,0,ratio-c,metric-c,internet-utility,measure-1,1,tcp/43
0.052,asiapacific,Philip Morris International,2122,0,0,408,0,ratio-c,metric-c,internet-utility,measure-3,5,"tcp/27665, udp/27444, 31335"
0.016,asiapacific,Cisco Systems,958181682,0,0,137,0,ratio-c,metric-c,internet-utility,measure-1,4,tcp/119
0.042,asiapacific,International Business Machines,1595182511,0,1,1846477,0,ratio-c,metric-c,internet-utility,measure-1,1,tcp/1666
0.036,asiapacific,Intel Corp.,22700086629,0,8,149668,0,ratio-c,metric-c,internet-utility,measure-1,5,tcp/119
0.876,asiapacific,Celgene Corp.,3487446,0,0,98484,0,ratio-c,metric-c,internet-utility,measure-1,2,"tcp/79, udp/79"
0.006,asiapacific,Bristol-Myers Squibb,31695584124,0,11,4058621,0,ratio-c,metric-c,internet-utility,measure-1,1,"tcp/5223, 443"
0.113,asiapacific,Nike,352153,0,0,809,0,ratio-e,metric-c,management,measure-1,1,"tcp/2887, udp/2887"
0.1,asiapacific,Halliburton Co.,1.03E+12,0,342,12603,0,ratio-e,metric-c,management,measure-1,2,"tcp/902, 80, udp/902"
0.125,asiapacific,CBS Corp.,321406575,0,0,2827023,0,ratio-e,metric-c,management,measure-1,2,"tcp/37, udp/37"
0.316,asiapacific,Genuine Parts,78758961,0,0,1,0,ratio-e,metric-c,management,measure-1,1,"tcp/17472, 8080, 8081"
0.266,asiapacific,Host Hotels & Resorts,2.50E+11,0,83,15760,0,ratio-e,metric-c,management,measure-1,1,"tcp/2967, udp/2967"
0.291,asiapacific,Martin Marietta Materials,32248250540,0,11,4011187,0,ratio-e,metric-c,management,measure-1,1,"tcp/524, udp/524"
0.012,asiapacific,Textron Inc.,1560964296,0,1,109877,0,ratio-e,metric-c,management,measure-1,2,tcp/445
0.091,asiapacific,Mastercard Inc.,1411001838,0,0,8180,0,ratio-e,metric-c,management,measure-1,2,"tcp/135, 445"
0.001,asiapacific,General Mills,149129432,0,0,95714,0,ratio-e,metric-c,management,measure-1,1,tcp/1688
0.004,asiapacific,Aon plc,8381126422,0,3,519105,0,ratio-e,metric-c,management,measure-1,1,tcp/1745
0.033,asiapacific,O'Reilly Automotive,235370212,0,0,94,0,ratio-e,metric-c,management,measure-4,2,tcp/502
0.012,asiapacific,Devon Energy Corp.,32686801,0,0,2159,0,ratio-e,metric-c,management,measure-4,2,tcp/502
0.077,asiapacific,Xcel Energy Inc,1438189,0,0,216,0,ratio-e,metric-c,management,measure-4,2,tcp/502
0.112,asiapacific,KeyCorp,5260284748,0,2,22032,0,ratio-e,metric-c,management,measure-4,2,tcp/502
0.027,asiapacific,FirstEnergy Corp,130740,0,0,32,0,ratio-e,metric-c,management,measure-4,2,tcp/502
0.03,asiapacific,Polo Ralph Lauren Corp.,534740523,0,0,238949,0,ratio-e,metric-c,management,measure-4,2,tcp/502
0.012,asiapacific,Altria Group Inc,227334163,0,0,8261,0,ratio-e,metric-c,management,measure-4,2,tcp/502
0.01,asiapacific,"American International Group, Inc.",19689813409,0,7,34376,0,ratio-e,metric-c,management,measure-1,2,"tcp/631, udp/631"
0.429,asiapacific,Cognizant Technology Solutions,58068428,0,0,193148,0,ratio-e,metric-c,management,measure-1,1,tcp/2033
0.004,asiapacific,Intuit Inc.,2.28E+12,0.001,760,1925774,0,ratio-e,metric-c,management,measure-1,3,tcp/9100
0.076,asiapacific,Estee Lauder Cos.,80346970,0,0,49714,0,ratio-e,metric-c,management,measure-1,1,"tcp/7220, tcp/7223, tcp/7229"
0.015,asiapacific,PPL Corp.,6640808414,0,2,9768827,0,ratio-e,metric-c,management,measure-1,3,"tcp/7, udp/7"
0.008,asiapacific,United Continental Holdings,279358,0,0,108,0,ratio-e,metric-c,management,measure-4,1,tcp/20000
0.349,asiapacific,Paychex Inc.,300090208,0,0,2788874,0,ratio-e,metric-c,management,measure-1,1,"tcp/9, udp/9"
0.032,asiapacific,Boston Properties,1796692736,0,1,661,0,ratio-e,metric-c,management,measure-1,1,tcp/18190
0.182,asiapacific,Fifth Third Bancorp,43560649,0,0,56,0,ratio-e,metric-c,management,measure-4,1,"tcp/19, udp/19"
0.043,asiapacific,Fortive Corp,6591275368,0,2,5519820,0,ratio-e,metric-c,management,measure-1,1,tcp/1984
0.048,asiapacific,Quest Diagnostics,15010929,0,0,105208,0,ratio-e,metric-c,management,measure-4,1,"tcp/47808, udp/47808"
0.667,asiapacific,Apple Inc.,8460254243,0,3,1652427,0,ratio-e,metric-c,management,measure-1,1,tcp/402
0.173,asiapacific,Microsoft Corp.,1.30E+13,0.006,4348,1009060,0,ratio-b,metric-c,photo-video,measure-1,3,"tcp/554, udp/554"
0.022,asiapacific,Allstate Corp,267207397,0,0,99,0,ratio-b,metric-c,photo-video,measure-1,2,tcp/6970
0.002,asiapacific,International Paper,26314,0,0,1,0,ratio-b,metric-c,photo-video,measure-1,1,tcp/7070
0.001,asiapacific,Level 3 Communications,2.97E+11,0,99,618559,0,ratio-b,metric-c,photo-video,measure-1,3,tcp/1755
0.004,asiapacific,AbbVie,8879733562,0,3,818,0,ratio-b,metric-c,photo-video,measure-2,2,tcp/1935
0.796,asiapacific,U.S. Bancorp,287086,0,0,23,0,ratio-a,metric-c,remote-access,measure-4,1,tcp/7100
0.972,asiapacific,Valero Energy,11346613,0,0,102796,0,ratio-a,metric-c,remote-access,measure-1,3,"tcp/177, udp/177"
0.894,asiapacific,Vulcan Materials,3.94E+11,0,131,20778,0,ratio-a,metric-c,remote-access,measure-1,5,tcp/6000
0.052,asiapacific,Pfizer Inc.,81484006,0,0,2993,0,ratio-a,metric-c,remote-access,measure-2,5,tcp/5800
0.807,asiapacific,Pioneer Natural Resources,2507717569,0,1,61,0,ratio-a,metric-c,remote-access,measure-1,3,"tcp/5900, 5901"
0.867,asiapacific,Alexion Pharmaceuticals,4.20E+11,0,140,6300,0,ratio-a,metric-c,remote-access,measure-1,2,"tcp/5900, 5901"
0.961,asiapacific,AFLAC Inc,90255319989,0,30,1845,0,ratio-a,metric-c,remote-access,measure-1,2,"tcp/5900, 5901"
0.639,asiapacific,Synchrony Financial,9.47E+11,0,316,498777,0,ratio-a,metric-c,remote-access,measure-1,5,"tcp/5500, tcp/5900, 5901"
0.028,asiapacific,Sempra Energy,499952394,0,0,4578,0,ratio-a,metric-c,remote-access,measure-1,1,tcp/24800
0.052,asiapacific,Progressive Corp.,4.51E+11,0,150,6046241,0,ratio-a,metric-c,remote-access,measure-1,4,tcp/4899
0.024,asiapacific,General Growth Properties Inc.,2153976036,0,1,393062,0,ratio-a,metric-c,remote-access,measure-4,4,tcp/1723
0.004,asiapacific,Royal Caribbean Cruises Ltd,222698950,0,0,63159,0,ratio-e,metric-c,software-update,measure-1,3,"tcp/443, 2984, 6457"
0.009,asiapacific,Edwards Lifesciences,13360345619,0,4,3702471,0,ratio-e,metric-c,software-update,measure-1,1,"tcp/744, udp/744"
0.018,asiapacific,Carmax Inc,689014125,0,0,251572,0,ratio-e,metric-c,storage-backup,measure-1,3,"tcp/20031, udp/20031"
0.007,asiapacific,Alaska Air Group Inc,1.80E+12,0.001,601,18778,0,ratio-e,metric-c,storage-backup,measure-1,3,tcp/3260
0.049,asiapacific,Molson Coors Brewing Company,11365516041,0,4,2062,0,ratio-e,metric-c,storage-backup,measure-1,2,tcp/16384
0.012,asiapacific,Rockwell Automation Inc.,4984259225,0,2,59150,0,ratio-e,metric-c,storage-backup,measure-1,1,"tcp/139, 5555, 137"
0.004,asiapacific,Omnicom Group,2523975406,0,1,120,0,ratio-e,metric-c,storage-backup,measure-4,1,tcp/3218
0.016,asiapacific,Dollar General,13846680825,0,5,811,0,ratio-e,metric-c,storage-backup,measure-1,3,tcp/5999
0.067,asiapacific,Concho Resources,3589865131,0,1,496,0,ratio-e,metric-c,storage-backup,measure-1,4,"tcp/443, 4282"
0.003,asiapacific,LyondellBasell,2362864722,0,1,129,0,ratio-e,metric-c,storage-backup,measure-1,2,"tcp/28001, 28002, 9443, 27000, 29000, 7778, 7779, 8778-8781, 8181, 8444, 8543, 8580"
0.031,asiapacific,Southwest Airlines,5.85E+11,0,195,54149,0,ratio-e,metric-c,storage-backup,measure-1,3,"tcp/548, udp/548"
0.005,asiapacific,Baxter International Inc.,5831412669,0,2,6729,0,ratio-d,metric-c,voip-video,measure-3,2,tcp/5100
0.071,asiapacific,Walgreens Boots Alliance,2.18E+11,0,73,778401,0,ratio-d,metric-c,voip-video,measure-3,4,tcp/5001
0.001,asiapacific,Air Products & Chemicals Inc,151829733,0,0,280,0,ratio-d,metric-c,voip-video,measure-3,1,"tcp/3784, udp/43784"
0.081,asiapacific,Yum! Brands Inc,6.50E+11,0,217,31577226,0.001,ratio-d,metric-c,voip-video,measure-3,4,"tcp/5060, udp/5060"
0.23,asiapacific,American Airlines Group,9925930483,0,3,117223,0,ratio-d,metric-c,voip-video,measure-3,2,tcp/2000
0.17,asiapacific,Republic Services Inc,4951492,0,0,554,0,ratio-d,metric-c,voip-video,measure-1,4,tcp/389
0.446,asiapacific,Stanley Black & Decker,6064607,0,0,12377,0,ratio-d,metric-c,voip-video,measure-4,2,"tcp/2428, udp/2427, 2727"
0.002,asiapacific,NextEra Energy,4992523,0,0,1469,0,ratio-d,metric-c,voip-video,measure-1,4,"tcp/1720, tcp/1731"
0.066,asiapacific,Netflix Inc.,13735692770,0,5,2914908,0,ratio-d,metric-c,voip-video,measure-1,2,"tcp/1720, udp/1719, 1720"
0.015,asiapacific,Albemarle Corp,2048573,0,0,14,0,ratio-d,metric-c,voip-video,measure-2,2,tcp/6499
0.077,japan,Chipotle Mexican Grill,8.01E+11,0.001,267,106454633,0.008,ratio-e,metric-c,auth-service,measure-1,2,"tcp/389, 3268, 3269, 636, udp/389, 3268"
0.002,japan,Boston Scientific,16733557,0,0,21266,0,ratio-e,metric-c,auth-service,measure-1,1,tcp/49
0.054,japan,American Electric Power,85075738625,0,28,634124,0,ratio-e,metric-c,database,measure-1,1,"tcp/50000, 60000"
0.001,japan,JPMorgan Chase & Co.,100547875,0,0,12,0,ratio-e,metric-c,database,measure-4,1,tcp/55000
0.969,japan,Stryker Corp.,21063065949,0,7,8251,0,ratio-e,metric-c,database,measure-1,1,tcp/3050
0.172,japan,Micron Technology,1.56E+11,0,52,155030,0,ratio-e,metric-c,database,measure-1,2,tcp/3306
0.75,japan,Discover Financial Services,1.79E+12,0.003,596,16373375,0.001,ratio-e,metric-c,database,measure-1,2,tcp/5432
0.114,japan,Electronic Arts,1243881163,0,0,504,0,ratio-d,metric-c,email,measure-1,4,"tcp/3101, 4101, udp/17600-17800"
0.915,japan,Public Serv. Enterprise Inc.,79311632,0,0,1956,0,ratio-d,metric-c,instant-messaging,measure-1,2,"tcp/5222, 80"
0.153,japan,Discovery Communications-C,407191,0,0,49,0,ratio-d,metric-c,instant-messaging,measure-1,4,tcp/5222
0.597,japan,ONEOK,48454207,0,0,12246,0,ratio-d,metric-c,instant-messaging,measure-1,1,"tcp/443, tcp/5222, 5223"
0.004,japan,Arconic Inc,3753701434,0,1,483377,0,ratio-c,metric-c,internet-utility,measure-1,1,"tcp/5223, 443"
0.101,japan,NetApp,273463,0,0,133,0,ratio-c,metric-c,internet-utility,measure-1,2,"tcp/79, udp/79"
0.096,japan,Kraft Heinz Co,9135075,0,0,1164,0,ratio-c,metric-c,internet-utility,measure-1,5,tcp/119
0.052,japan,United Parcel Service,150357,0,0,147,0,ratio-c,metric-c,internet-utility,measure-1,1,tcp/1666
0.052,japan,Intuitive Surgical Inc.,48128,0,0,15,0,ratio-c,metric-c,internet-utility,measure-3,5,"tcp/27665, udp/27444, 31335"
0.03,japan,Sysco Corp.,17480890,0,0,6740,0,ratio-c,metric-c,internet-utility,measure-1,1,tcp/43
0.37,japan,Incyte,423172163,0,0,259294,0,ratio-e,metric-c,management,measure-1,1,tcp/402
0.018,japan,"AvalonBay Communities, Inc.",29973773344,0,10,1627209,0,ratio-e,metric-c,management,measure-1,1,tcp/1984
0.729,japan,Tyson Foods,290744105,0,0,177,0,ratio-e,metric-c,management,measure-1,1,tcp/18190
0.011,japan,Apache Corporation,251564703,0,0,245575,0,ratio-e,metric-c,management,measure-1,1,"tcp/9, udp/9"
0.062,japan,Nucor Corp.,7542,0,0,2,0,ratio-e,metric-c,management,measure-4,1,tcp/20000
0.368,japan,Chesapeake Energy,1453693489,0,0,239510,0,ratio-e,metric-c,management,measure-1,3,"tcp/7, udp/7"
0.206,japan,Transocean,7.64E+11,0.001,255,854395,0,ratio-e,metric-c,management,measure-1,3,tcp/9100
0.003,japan,McDonald's Corp.,218928049,0,0,531034,0,ratio-e,metric-c,management,measure-1,1,tcp/2033
0.39,japan,Marriott Int'l.,412764264,0,0,1166,0,ratio-e,metric-c,management,measure-1,2,"tcp/631, udp/631"
0.167,japan,Crown Castle International Corp.,0,0,0,0,0,ratio-e,metric-c,management,measure-4,2,tcp/502
0.13,japan,CBRE Group,149760,0,0,2,0,ratio-e,metric-c,management,measure-4,2,tcp/502
0.003,japan,Medtronic plc,4758,0,0,1,0,ratio-b,metric-c,photo-video,measure-1,1,tcp/7070
0.017,japan,Boeing Company,77427754,0,0,317,0,ratio-b,metric-c,photo-video,measure-1,2,tcp/6970
0.9,japan,Schlumberger Ltd.,5.61E+11,0.001,187,87203,0,ratio-b,metric-c,photo-video,measure-1,3,"tcp/554, udp/554"
0.136,japan,Fiserv Inc,528279456,0,0,72309,0,ratio-a,metric-c,remote-access,measure-1,1,tcp/52300
0.06,japan,Weyerhaeuser Corp.,5334399,0,0,7,0,ratio-a,metric-c,remote-access,measure-1,2,"tcp/443, 8200"
0.006,japan,Goldman Sachs Group,4711898786,0,2,1374,0,ratio-a,metric-c,remote-access,measure-1,1,"tcp/7615, 80, 443"
0.057,japan,Capital One Financial,226501174,0,0,79,0,ratio-a,metric-c,remote-access,measure-1,3,"tcp/6502, udp/6502"
0.063,japan,Anthem Inc.,3005450060,0,1,250775,0,ratio-a,metric-c,remote-access,measure-1,2,"tcp/5631, tcp/65301, udp/22, udp/5632"
0.101,japan,eBay Inc.,9714244061,0,3,718,0,ratio-a,metric-c,remote-access,measure-1,2,tcp/5631
0.003,japan,Norfolk Southern Corp.,41173726957,0,14,239,0,ratio-a,metric-c,remote-access,measure-1,1,"tcp/4172, 50002, udp/4172, 50002"
0.015,japan,SunTrust Banks,76103052,0,0,4897,0,ratio-a,metric-c,remote-access,measure-4,4,tcp/1723
0.051,japan,Corning Inc.,3373014,0,0,17,0,ratio-a,metric-c,remote-access,measure-1,1,tcp/24800
0.085,japan,M&T Bank Corp.,64085443502,0,21,11306,0,ratio-a,metric-c,remote-access,measure-1,5,"tcp/5500, tcp/5900, 5901"
0.001,japan,Baker Hughes Inc,2616286284,0,1,136,0,ratio-a,metric-c,remote-access,measure-1,2,"tcp/5900, 5901"
0.006,japan,Agilent Technologies Inc,12779510156,0,4,785,0,ratio-a,metric-c,remote-access,measure-1,2,"tcp/5900, 5901"
0.001,japan,Discovery Communications-A,3924482,0,0,4,0,ratio-a,metric-c,remote-access,measure-1,3,"tcp/5900, 5901"
0.001,japan,Amazon.com Inc,14489701,0,0,188,0,ratio-a,metric-c,remote-access,measure-2,5,tcp/5800
0.095,japan,"Facebook, Inc.",87559259455,0,29,4069,0,ratio-a,metric-c,remote-access,measure-1,5,tcp/6000
0.023,japan,HCA Holdings,59026,0,0,2599,0,ratio-a,metric-c,remote-access,measure-1,3,"tcp/177, udp/177"
0.189,japan,Waste Management Inc.,3836074,0,0,24,0,ratio-a,metric-c,remote-access,measure-4,1,tcp/7100
0.95,japan,McKesson Corp.,119229,0,0,4,0,ratio-a,metric-c,routing,measure-4,2,"tcp/179, udp/179"
0.034,japan,Constellation Brands,10831454536,0,4,4712983,0,ratio-e,metric-c,software-update,measure-1,1,"tcp/744, udp/744"
0.393,japan,Target Corp.,587583997,0,0,91184,0,ratio-e,metric-c,software-update,measure-1,3,"tcp/443, 2984, 6457"
0.521,japan,State Street Corp.,91183840,0,0,2308,0,ratio-e,metric-c,software-update,measure-1,1,tcp/3025
0.006,japan,L Brands Inc.,3.98E+11,0.001,133,18404,0,ratio-e,metric-c,storage-backup,measure-1,3,"tcp/548, udp/548"
0.004,japan,Seagate Technology,756812678,0,0,11,0,ratio-e,metric-c,storage-backup,measure-1,4,"tcp/443, 4282"
0.131,japan,"Coty, Inc",8883519411,0,3,342,0,ratio-e,metric-c,storage-backup,measure-1,3,tcp/5999
0.001,japan,Dow Chemical,870222,0,0,20,0,ratio-e,metric-c,storage-backup,measure-1,1,"tcp/139, 5555, 137"
0.246,japan,Johnson Controls International,19516200,0,0,4,0,ratio-e,metric-c,storage-backup,measure-1,2,tcp/16384
0.001,japan,Marsh & McLennan,42116874,0,0,575,0,ratio-e,metric-c,storage-backup,measure-1,3,tcp/3260
0.008,japan,Ecolab Inc.,1794501147,0,1,540481,0,ratio-e,metric-c,storage-backup,measure-1,3,"tcp/20031, udp/20031"
0.015,japan,Exxon Mobil Corp.,897657099,0,0,37805,0,ratio-d,metric-c,voip-video,measure-1,2,"tcp/1720, udp/1719, 1720"
0.272,japan,Abbott Laboratories,64168,0,0,52,0,ratio-d,metric-c,voip-video,measure-1,4,"tcp/1720, tcp/1731"
0.973,japan,Lockheed Martin Corp.,4886914,0,0,58511,0,ratio-d,metric-c,voip-video,measure-4,2,"tcp/2428, udp/2427, 2727"
0.931,japan,Accenture plc,330451,0,0,213,0,ratio-d,metric-c,voip-video,measure-1,4,tcp/389
0.564,japan,Time Warner Inc.,78821114,0,0,6729,0,ratio-d,metric-c,voip-video,measure-3,2,tcp/2000
0.779,japan,Public Storage,6939601866,0,2,1541714,0,ratio-d,metric-c,voip-video,measure-3,4,"tcp/5060, udp/5060"
0.3,japan,CSRA Inc.,6412,0,0,3,0,ratio-d,metric-c,voip-video,measure-3,1,"tcp/3784, udp/43784"
0.206,japan,Chevron Corp.,547905242,0,0,67705,0,ratio-d,metric-c,voip-video,measure-3,4,tcp/5001
0.567,japan,Visa Inc.,544993033,0,0,8361,0,ratio-d,metric-c,voip-video,measure-3,2,tcp/5100
0.899,global,Hewlett Packard Enterprise,5.15E+13,0.004,17167,1463799204,0.008,ratio-e,metric-c,auth-service,measure-1,2,"tcp/389, 3268, 3269, 636, udp/389, 3268"
0.015,global,SL Green Realty,48098363514,0,16,48342748,0,ratio-e,metric-c,auth-service,measure-1,1,tcp/49
0.249,global,QUALCOMM Inc.,28668,0,0,58,0,ratio-e,metric-c,auth-service,measure-1,1,tcp/49
0.004,global,Laboratory Corp. of America Holding,80880,0,0,70,0,ratio-e,metric-c,auth-service,measure-1,1,tcp/2009
0.552,global,Best Buy Co. Inc.,4.16E+13,0.003,13866,785120220,0.004,ratio-e,metric-c,database,measure-1,2,tcp/3306
0.665,global,Starbucks Corp.,3.46E+12,0,1153,38511250,0,ratio-e,metric-c,database,measure-1,2,tcp/5432
0.217,global,Grainger (W.W.) Inc.,6.55E+12,0.001,2184,47202643,0,ratio-e,metric-c,database,measure-1,1,"tcp/50000, 60000"
0.929,global,HCP Inc.,123098,0,0,8,0,ratio-e,metric-c,general-business,measure-1,1,tcp/20016
0.06,global,Xilinx Inc,227456947,0,0,4900,0,ratio-e,metric-c,general-business,measure-1,1,tcp/1829
0.695,global,Red Hat Inc.,36692,0,0,6,0,ratio-e,metric-c,general-business,measure-1,1,"tcp/9703, tcp/9704"
0.601,global,"Essex Property Trust, Inc.",148707930,0,0,50,0,ratio-e,metric-c,general-business,measure-1,1,tcp/2638
0.907,global,National Oilwell Varco Inc.,2.13E+13,0.002,7112,2046101298,0.011,ratio-a,metric-c,infrastructure,measure-1,2,"tcp/161, udp/161"
0.001,global,Fastenal Co,8.77E+12,0.001,2922,269833798,0.001,ratio-a,metric-c,infrastructure,measure-4,2,tcp/139
0.943,global,Eastman Chemical,1.15E+12,0,384,101344671,0.001,ratio-a,metric-c,infrastructure,measure-4,2,"tcp/67, tcp/68, udp/67, udp/68"
0.834,global,BB&T Corporation,6.29E+12,0,2097,2665165018,0.014,ratio-a,metric-c,infrastructure,measure-1,2,"tcp/161, udp/161"
0.798,global,"Allergan, Plc",27505625076,0,9,27661139,0,ratio-a,metric-c,infrastructure,measure-3,1,"tcp/1900, udp/1900"
0.886,global,Regeneron,5.32E+11,0,177,92763718,0.001,ratio-a,metric-c,infrastructure,measure-1,3,"tcp/162, udp/162"
0.633,global,Anadarko Petroleum Corp,5.95E+12,0,1984,2333187959,0.013,ratio-a,metric-e,infrastructure,measure-1,2,"tcp/161, udp/161"
0.93,global,Texas Instruments,7033757094,0,2,18121670,0,ratio-a,metric-e,infrastructure,measure-4,2,"tcp/5355, udp/5355"
0.754,global,Charter Communications,2.14E+11,0,71,27224055,0,ratio-a,metric-e,infrastructure,measure-1,1,"tcp/161, udp/161"
0.914,global,Morgan Stanley,1729631093,0,1,179844,0,ratio-a,metric-e,infrastructure,measure-1,2,tcp/42
0.794,global,CVS Health,56647098514,0,19,15017635,0,ratio-a,metric-e,infrastructure,measure-4,1,"tcp/3386, udp/2123, 2152, 3386"
0.33,global,Priceline.com Inc,2.17E+11,0,72,111188772,0.001,ratio-a,metric-e,infrastructure,measure-1,2,"tcp/161, udp/161"
0.019,global,Regions Financial Corp.,3.93E+12,0,1310,143604064,0.001,ratio-a,metric-e,infrastructure,measure-4,2,tcp/7800
0.692,global,Huntington Bancshares,2.04E+12,0,682,10408,0,ratio-a,metric-e,infrastructure,measure-1,3,"tcp/6050, 445, 139, 111, udp/6050"
0.249,global,The Mosaic Company,4.15E+12,0,1383,5641,0,ratio-a,metric-e,infrastructure,measure-1,1,"tcp/5001, udp/5001"
0.069,global,Lilly (Eli) & Co.,123445633,0,0,175097,0,ratio-a,metric-e,infrastructure,measure-1,1,"tcp/443, udp/53"
0.043,global,Mid-America Apartments,1.00E+11,0,33,2982411,0,ratio-a,metric-e,infrastructure,measure-1,1,"tcp/3034, tcp/3035"
0.076,global,Wells Fargo,2.50E+11,0,83,7407309,0,ratio-d,metric-e,instant-messaging,measure-1,5,"tcp/5222, 5269"
0.087,global,Ross Stores,1.85E+11,0,62,12561213,0,ratio-d,metric-e,instant-messaging,measure-1,1,"tcp/443, tcp/5222, 5223"
0.015,global,Cummins Inc.,1.16E+11,0,39,19472012,0,ratio-d,metric-e,instant-messaging,measure-1,5,tcp/6665-6669
0.31,global,Bank of America Corp,10540430077,0,4,774089,0,ratio-d,metric-e,instant-messaging,measure-1,1,"tcp/2041, 2042"
0.004,global,Zoetis,12693889400,0,4,821620,0,ratio-d,metric-e,instant-messaging,measure-1,4,tcp/5190-5199
0.579,global,Kellogg Co.,3380718569,0,1,164756,0,ratio-d,metric-e,instant-messaging,measure-3,3,tcp/1863
0.047,global,Archer-Daniels-Midland Co,2.50E+11,0,83,14727215,0,ratio-d,metric-e,instant-messaging,measure-1,4,"tcp/5004, tcp/80"
